pool_name,source_name,candidate_id,asset_id,stratum,selection_query,license_bucket,download_status,local_status,notes
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_01,,hard sunlight,hard sunlight,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_02,,hard sunlight,hard sunlight,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_03,,hard sunlight,hard sunlight,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_04,,hard sunlight,hard sunlight,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_01,,overcast diffuse,overcast diffuse,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_02,,overcast diffuse,overcast diffuse,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_03,,overcast diffuse,overcast diffuse,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_04,,overcast diffuse,overcast diffuse,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_01,,window-side indoor,window-side indoor,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_02,,window-side indoor,window-side indoor,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_03,,window-side indoor,window-side indoor,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_04,,window-side indoor,window-side indoor,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
pool_D_natural_light_hdri_bank,PolyHaven_HDRI,polyhaven_slot_01,,warm sunset,warm sunset,cc0,api_query_failed_fallback_slot,not_downloaded,fallback slot; resolve with live Poly Haven API before download
